School,Department,Name,Designation,Profile_Link,Education_Details,Post_Doctoral_Experiences,Areas_of_Specialization
School of Advanced Sciences (SAS),Physics,Dr.Balakrishnan S,Associate Professor & Hod,https://vit.ac.in/physics/dr-balakrishnan-s,"[{""Institution"": ""National Institute of Technology, Tiruchirappalli"", ""Degree"": ""Ph.D."", ""Specialization"": ""Quantum Computation"", ""Graduation_Year"": ""2012""}, {""Institution"": ""Department of Theoretical Physics, University of Madras"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2005""}, {""Institution"": ""A.M. Jain College, University of Madras"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2003""}]","May 2013 to June 2014 at Materials Physics Division, School of Advanced Sciences, Vellore Institute of Technology, Vellore.","[""1. Quantum Computation 2. Quantum Cryptography 3. Quantum Game Theory""]"
School of Advanced Sciences (SAS),Physics,Dr.Arunai Nambi Raj N,Professor,https://vit.ac.in/physics/dr-arunai-nambi-raj-n,"[{""Institution"": ""Anna University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2000""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1992""}, {""Institution"": ""University of Madras"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1989""}, {""Institution"": ""Bharathiar University (Corres)"", ""Degree"": ""B.Ed"", ""Specialization"": ""Physical Science"", ""Graduation_Year"": ""1994""}]","1.9.2000 – 30.6.2002 at K.J.Hospital, Chennai","[""Radiation Physics"", ""Urolithiasis"", ""Nanotechnology"", ""Material science""]"
School of Advanced Sciences (SAS),Physics,Dr.Ezhil Vizhi R,Professor & Director-cfm,https://vit.ac.in/physics/dr-ezhil-vizhi-r,"[{""Institution"": ""Vellore Institute of Technology, Vellore"", ""Degree"": ""Ph.D"", ""Specialization"": ""Materials Science/Crystal Growth"", ""Graduation_Year"": ""2010""}, {""Institution"": ""Queen Mary's College, Chennai"", ""Degree"": ""M.Phil"", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1998""}, {""Institution"": ""Bharathidasan University, Tiruchirappalli"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1997""}, {""Institution"": ""Bharathidasan University, Tiruchirappalli"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1995""}]",,"[""Nanomagnetic Materials"", ""Magnetic Nanocomposites"", ""Crystal Growth"", ""Thin Film Deposition"", ""Ferrites""]"
School of Advanced Sciences (SAS),Physics,Dr.James Jebaseelan Samuel E,Professor,https://vit.ac.in/physics/dr-james-jebaseelan-samuel-e,"[{""Institution"": ""Manonmaniam Sundaranar University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Laser Spectroscopy"", ""Graduation_Year"": ""2004""}, {""Institution"": ""Madurai Kamaraj University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1986""}, {""Institution"": ""Madurai Kamaraj University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1983""}, {""Institution"": ""Bharathidasan University"", ""Degree"": ""M.Phil."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1988""}]",,"[""2D and 3D Nanomaterials"", ""Semiconducting Materials"", ""Nanocomposites"", ""Optical Materials"", ""Gas Sensors"", ""Medical Physics""]"
School of Advanced Sciences (SAS),Physics,Dr.Krishnamoorthi C,Professor,https://vit.ac.in/physics/dr-krishnamoorthi-c,"[{""Institution"": ""Indian Institute of Technology Madras"", ""Degree"": ""Ph.D."", ""Specialization"": ""Solid State Physics"", ""Graduation_Year"": ""2007""}, {""Institution"": ""College of Science, Sri Venkateswara University"", ""Degree"": ""M.Sc"", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2000""}, {""Institution"": ""PVKN Govt College, Sri Venkateswara University"", ""Degree"": ""B.Sc"", ""Specialization"": ""Maths, Physics, Chemistry"", ""Graduation_Year"": ""1998""}]","Postdoctoral Research, National University of Singapore","[""Flexible Physical Sensors"", ""Magnetic nanoparticles for biomedical applications""]"
School of Advanced Sciences (SAS),Physics,Dr.Malathi M,Professor,https://vit.ac.in/physics/dr-malathi-m,"[{""Institution"": ""Annamalai University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Chemical physics"", ""Graduation_Year"": ""2002""}, {""Institution"": ""Annamalai University"", ""Degree"": ""M.Sc."", ""Specialization"": ""physics"", ""Graduation_Year"": ""1998""}, {""Institution"": ""Madras University/GTM college"", ""Degree"": ""B.Sc."", ""Specialization"": ""physics"", ""Graduation_Year"": ""1996""}]",,"[""Condensed Matter Research - Dielectrics"", ""Polymer nano composites"", ""EMI shielding""]"
School of Advanced Sciences (SAS),Physics,Dr.Rajan Babu D,Professor & Associate Dean,https://vit.ac.in/physics/dr-rajan-babu-d,"[{""Institution"": ""University of Madras"", ""Degree"": ""Ph.D."", ""Specialization"": ""Crystal Growth"", ""Graduation_Year"": ""2004""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Sc."", ""Specialization"": ""Electronics"", ""Graduation_Year"": ""1988""}, {""Institution"": ""University of Madras"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1986""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Phil."", ""Specialization"": ""Nuclear Physics"", ""Graduation_Year"": ""1989""}]",,"[""Crystal Growth"", ""Nanomagneticmaterials"", ""Nanocomposites""]"
School of Advanced Sciences (SAS),Physics,Dr.Ramasubramanian V,Professor,https://vit.ac.in/physics/dr-ramasubramanian-v,"[{""Institution"": ""M S University, Tirunelveli"", ""Degree"": ""Ph.D."", ""Specialization"": ""Nuclear Physics"", ""Graduation_Year"": ""2000""}, {""Institution"": ""M K University, Madurai"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1991""}, {""Institution"": ""M K University, Madurai"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1988""}]",,"[""Nuclear Physics"", ""Radiation Physics"", ""Medical Physics"", ""Astrophysics""]"
School of Advanced Sciences (SAS),Physics,Dr.Ramesh Babu P,Professor,https://vit.ac.in/physics/dr-ramesh-babu-p,"[{""Institution"": ""University of Madras"", ""Degree"": ""Ph.D."", ""Specialization"": ""Nonlinear Fiber Optics"", ""Graduation_Year"": ""2006""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1990""}, {""Institution"": ""University of Madras"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1986""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Phil."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1997""}]",,"[""Nonlinear fiber optics"", ""Optical Solitons"", ""Photonic Crystal Fibers"", ""Metamaterials and Fiber sensors""]"
School of Advanced Sciences (SAS),Physics,Dr.Ruban Kumar A,Professor & Director-Events,https://vit.ac.in/physics/dr-ruban-kumar-a,null,null,null
